"","RegID","RegistrarName"
"1",1,"Link Intime India Private Ltd"
"2",2,"Karvy Computershare Private Limited"
"3",3,"Bigshare Services Pvt. Ltd"
"4",4,"Aarthi Consultansts Pvt Ltd."
"5",5,"Enam Securities Private Limited"
"6",6,"Cameo Corporate Services Limited"
"7",7,"Ankit Consultancy Private Limited"
"8",8,"Mondkar Computers Private Limited"
"9",9,"Adroit Corporate Services Pvt Ltd"
"10",10,"S.K.D.C Consultants Limited"
"11",11,"Datamatics Financial Services Ltd"
"12",46,"Niche Technologies Pvt. Ltd"
"13",50,"MAS Services Limited"
"14",56,"Alankit Assignments Ltd"
"15",57,"Sharex Dynamic (India) Pvt Ltd"
"16",59,"Sharepro Services Private Limited,"
"17",63,"Beetal Financial & Computer Services (P) Limited"
"18",64,"Maheshwari Datamatics Pvt. Ltd"
"19",67,"Alpha Systems Private Limited"
"20",87,"Purva Sharegistry India Pvt Ltd"
"21",91,"CB Management Services (P) Limited"
"22",99,"Skyline Financial Services Private Ltd"
"23",100,"Satellite Corporate Services Private Limited"
"24",103,"RCMC Share Registry Private Limited"
"25",105,"MCS Limited"
"26",108,"S.K. Infosolutions Private Limited"
"27",109,"Universal Capital Securities Pvt. Ltd"
